Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $290.88/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method
0xa4f708ea6ca56f0a4b38fa29d3710d618c68a9532173b22611f162521e9abf44,8493472,1624289482,2021/6/21 15:31,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,0,0,0.003549697,1.032535834,271.11,,,Swap Exact Tokens For ETH Supporting Fee On Transfer Tokens
0xad19647bf4386fde1aaf78fbab5d3152fe650d3c5cac6cce4a13c067e30899da,8493569,1624289773,2021/6/21 15:36,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0xad667da40c4c2fe17e1af7a6e9e83a80f4538be0,,0,0.2,58.176,0.0001071,0.031153248,271.11,,,Transfer
0x86b9fc003d714505f624d00c246a31cedfdfebac74299630deefbdb59dfc469b,8495932,1624296890,2021/6/21 17:34,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0x8a64d224721ee6175ea6cf49351c94d2999f87c7,,0,0.0052,1.512576,0.0001071,0.031153248,271.11,,,Transfer
0x168788cf62ede8c64faede836a88721316328654d6cbfdebd62dc974eb0ceb51,8495977,1624297025,2021/6/21 17:37,0x8a64d224721ee6175ea6cf49351c94d2999f87c7,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,,0.004595,0,1.3365936,0.0002121,0.061695648,271.11,,,Transfer
0x6cdd7e9150f5e077ec49c4e63c4c919ed118e48f9377580d458e4499c3e574eb,8510232,1624340020,2021/6/22 5:33,0x161ba15a5f335c9f06bb5bbb0a9ce14076fbb645,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,,0.39852782,0,115.9237723,0.00021,0.0610848,261.92,,,Transfer
0xfab96a5ea4adc6481f7d3f41cb1272ceadbc3eab11a2c49e7568dbaf1121b629,8510259,1624340101,2021/6/22 5:35,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,0.35,101.808,0.000922019,0.268196829,261.92,,,Swap Exact ETH For Tokens
0x19a8f2bc98f1d8814d04ce391c8a6333088a4bc365dfea7c1648fea7fd6724aa,8521371,1624373651,2021/6/22 14:54,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,0.022572463,6.565878054,0.000921958,0.268179027,261.92,,,Swap Exact ETH For Tokens
0x9b4c633daca7ba9d8c8e41f231f40296440215e216caa700dad60ebd79848e37,8545997,1624448070,2021/6/23 11:34,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,0.015573837,4.530117588,0.001014778,0.295178508,296.24,,,Swap Exact ETH For Tokens
0x5fe25de14ab95042d10e7f345093303f6bae187b7d627fb2e1dcc3ff3dbd17e4,8546389,1624449247,2021/6/23 11:54,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0xcc4fffb3cdeea6c0eba06591552d85c69ffa306c,,0,0,0,0.000227195,0.066086423,296.24,,,Approve
0xa705dfe8cfc9528aa2724e598d4c4a99af7953c41ac03deffadc5d3c0b0e505c,8546422,1624449346,2021/6/23 11:55,0x18c4d42fdbad6614380033c17aa68ad16fac8b9b,0x10ed43c718714eb63d5aa57b78b54704e256024e,,0,0,0,0.001757353,0.511178812,296.24,,,Swap Exact Tokens For Tokens Supporting Fee On Transfer Tokens
